GISJOIN,NATION,NATIONA,B79AA1980,B79AA1990,B79AA2000,B79AA125,B79AA125M,BD5AA1980,BD5AA1990,BD5AA2000,BD5AA125,BD5AA125M
GIS Join Match Code,NHGIS Integrated Nation Name,NHGIS Integrated Nation Code,1980: Median income in previous year: Households,1990: Median income in previous year: Households,2000: Median income in previous year: Households,2008-2012: Median income in previous year: Households,Margin of error: 2008-2012: Median income in previous year: Households,1980: Per capita income in previous year,1990: Per capita income in previous year,2000: Per capita income in previous year,2008-2012: Per capita income in previous year,Margin of error: 2008-2012: Per capita income in previous year
"G1","United States","1",16841,30056,41994,53046,85,7298,14420,21587,28051,76
