YEAR,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
2010,308745538,219922123,29331148,59492267,151781326,156964212,223553265,38929319,2932248,34321633,269354406,39784305,4830862,11341138,1581968,225497,21804680,2159202,3979781,6680285,57200845,17553603,10821187,2259174,3960696,6481964,63409048,18976272,10853960,8272970,6260673,12309201,88383958,2719476,3532325,2452413,6193591,17018506,47398713,1422593,44852527,131704730,0.49160654104740453,0.5083934589525955,966.9804604886622,0.7123086682470533,0.09500104257377154,0.1926902891791751,238.681991058003,0.7240696220199302,0.12608868536911455,0.009497296767411097,0.11116479033941537,340.78321334291405,0.8724155424069643,0.1288579108145686,147.70244745875812,0.12142632628620759,0.2850656307807815,0.03976362035229722,0.005667988921761987,0.5480724119725102,145.27344197602622,2.3442251314740177,0.021944246441301943,0.04044702396830454,0.06789259195671955,0.5813395130843312,0.1783995152675744,0.10997710928176839,0.021324808798971095,0.03738582548792153,0.06118459354693967,0.5985310669850045,0.17912094071429152,0.10245276446687167,1089.5540535574173,875.1022831183012
2000,281421906,192323824,30036715,59061367,138053563,143368343,211460626,34658190,2475956,26000906,250314017,31107889,4915557,8226254,881300,168046,16916416,1966059,4709276,7290118,50387108,14029287,8695838,2041413,5038729,7896455,58419876,14288505,7448975,10067027,6657228,13536965,75277902,2108684,4155386,3115586,7757397,21061537,36171874,1067028,33899812,115904641,0.49055727381790953,0.5094427261820904,962.929194208515,0.6834003320267471,0.10673197203063503,0.20986769594261792,265.61082854723605,0.7514007313986424,0.12315384574220033,0.00879802157263479,0.09239119430880409,298.56646693176816,0.8894617357896795,0.11053826421032058,124.27545757455525,0.1580164118497401,0.26444269490610567,0.02833043412235398,0.005402038048933504,0.5437982628779471,120.4590377552201,2.428046914877205,0.022578218259038257,0.054081317686829666,0.0837197028869141,0.5786454637758748,0.1611123083817363,0.0998629890096069,0.021458301012678406,0.052964570914024775,0.08300354133292454,0.6140801906970059,0.15019353815771747,0.07829985788564887,1096.3603860929811,841.1624517575411
1990,248709873,158258878,28794609,61656386,121239418,127470455,199686070,29986060,1959234,17078509,228942557,19767316,4350403,4979037,363819,104145,9161754,2110218,5683703,7740149,42125548,10816801,6737846,2161459,6546831,9267404,50922871,10015766,4739840,14214497,8133273,16123742,53522070,1485868,6218567,4676092,10658345,24000881,19495543,701810,31742864,102263678,0.4874732817703622,0.5125267182296378,951.1177943155534,0.6363192425416904,0.11577589845015923,0.24790485900815043,329.61901426622427,0.8028875878200461,0.12056642399556049,0.007877588357740828,0.06866839982665264,245.50437093583943,0.9205205818266813,0.07947941817331876,86.34181542752665,0.2200806118544369,0.25188229904353227,0.018405078362687174,0.005268545309843785,0.46347991806272537,127.63009211138151,2.432045061003967,0.028056087498827518,0.07556682233084376,0.10290799225386302,0.5600739168294737,0.14381315831511482,0.08958202277187712,0.025838030239998432,0.0782606643726109,0.11078233026778785,0.6087308067400489,0.11972823208062154,0.05665993629893242,1100.5070777667534,789.0722358467732
1980,226545805,139170683,27880309,59494813,110053161,116492644,189035012,26482349,1534336,3726440,212465899,14079906,5149572,2539777,199723,78896,5225914,2407672,9159906,8862989,29461174,6123449,6401264,2347567,10342538,11414525,37280836,5297050,3736717,23435850,12342073,21383458,23306046,848196,12090940,8709248,17423535,17634779,3331631,361733,27392580,88411263,0.485787679891049,0.514212320108951,944.721977466663,0.6143158687047857,0.12306698418008667,0.26261714711512757,356.1476186863949,0.834422919462137,0.11689622326045719,0.00677274072675943,0.016448947266977643,167.92193501170038,0.9378496282462613,0.06215037175373872,66.26901571625854,0.3657390894513074,0.18038309346667514,0.014184966859863979,0.0056034465002820335,0.3711611426951288,120.9140906405219,2.5624088754393206,0.03857431567644006,0.14675466824821545,0.14199763735376572,0.4720097364070058,0.09810632625813699,0.10255731605643602,0.03333701461928732,0.14687092658336678,0.16209385580783023,0.529412696102498,0.07522163724788085,0.0530638696391368,1103.0993104897368,664.7346958803322
1970,203211926,118444685,30870379,53896862,98912192,104299734,177748975,22580289,792730,2089932,193590856,9619302,5712026,824887,61463,88803,2616391,3152174,12183520,9633537,19891977,3518159,3490403,2887140,12864556,11652385,25916804,3139445,1569259,38252828,14331527,8396295,2464542,848196,27003128,13617427,8176995,1972996,398053,361733,27124985,68679030,0.4867440309581043,0.5132559690418957,948.3455825496161,0.5828628630782231,0.1519122406231217,0.26522489629865525,360.9606462747791,0.8746975558904944,0.1111169479295226,0.0039010013615047375,0.010284494818478322,143.25230848729225,0.9526549932901084,0.047336306433117516,49.68882414570242,0.5938087815519255,0.08575331141490308,0.00638954884668347,0.009231750910824923,0.2719938515289363,133.4812652678662,2.9588642413848887,0.06077092688091734,0.2348867172536142,0.18572546205622273,0.38349846162803497,0.06782677077611873,0.06729166140509202,0.049752894165767746,0.22168959356234627,0.20080075011387724,0.4466136060346731,0.054100762285254164,0.027042393838081467,1138.4719094290267,523.4429711277934
