GISJOIN,STATE,STATEFP,STATENH,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A00AA1870,A00AA1880,A00AA1890,A00AA1900,A00AA1910,A00AA1920,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA125,AV0AA125M,A57AA1970,A57AA1980,A57AA1990,A57AA2000,A57AA2010,A57AB1970,A57AB1980,A57AB1990,A57AB2000,A57AB2010,A57AC1970,A57AC1980,A57AC1990,A57AC2000,A57AC2010,A57AD1970,A57AD1980,A57AD1990,A57AD2000,A57AD2010,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010,AT5AA1970,AT5AA1980,AT5AA1990,AT5AA2000,AT5AA125,AT5AA125M,AT5AB1970,AT5AB1980,AT5AB1990,AT5AB2000,AT5AB125,AT5AB125M,AK7AA1970,AK7AA1980,AK7AA1990,AK7AA2000,AK7AA125,AK7AA125M,AK7AB1970,AK7AB1980,AK7AB1990,AK7AB2000,AK7AB125,AK7AB125M,AK7AC1970,AK7AC1980,AK7AC1990,AK7AC2000,AK7AC125,AK7AC125M,AK7AD1970,AK7AD1980,AK7AD1990,AK7AD2000,AK7AD125,AK7AD125M,AK7AE1970,AK7AE1980,AK7AE1990,AK7AE2000,AK7AE125,AK7AE125M,AK7AF1970,AK7AF1980,AK7AF1990,AK7AF2000,BX3AA1970,BX3AA1980,BX3AA1990,BX3AA2000,BX3AA125,BX3AA125M,BX3AB1970,BX3AB1980,BX3AB1990,BX3AB2000,BX3AB125,BX3AB125M,BX3AC1970,BX3AC1980,BX3AC1990,BX3AC2000,BX3AC125,BX3AC125M,BX3AD1970,BX3AD1980,BX3AD1990,BX3AD2000,BX3AD125,BX3AD125M,BX3AE1970,BX3AE1980,BX3AE1990,BX3AE2000,BX3AE125,BX3AE125M,BX3AF1970,BX3AF1980,BX3AF1990,BX3AF2000,BX3AF125,BX3AF125M,BX3AG1970,BX3AG1980,BX3AG1990,BX3AG2000,BX3AG125,BX3AG125M,BX3AH1970,BX3AH1980,BX3AH1990,BX3AH2000,BX3AH125,BX3AH125M,BX3AI1970,BX3AI1980,BX3AI1990,BX3AI2000,BX3AI125,BX3AI125M,BX3AJ1970,BX3AJ1980,BX3AJ1990,BX3AJ2000,BX3AJ125,BX3AJ125M,BX3AK1970,BX3AK1980,BX3AK1990,BX3AK2000,BX3AK125,BX3AK125M,BX3AL1970,BX3AL1980,BX3AL1990,BX3AL2000,BX3AL125,BX3AL125M,BS4AA1970,BS4AA1980,BS4AA1990,BS4AA2000,BS4AA125,BS4AA125M,BS4AB1970,BS4AB1980,BS4AB1990,BS4AB2000,BS4AB125,BS4AB125M,BS4AC1970,BS4AC1980,BS4AC1990,BS4AC2000,BS4AC125,BS4AC125M,BS4AD1970,BS4AD1980,BS4AD1990,BS4AD2000,BS4AD125,BS4AD125M,BS4AE1970,BS4AE1980,BS4AE1990,BS4AE2000,BS4AE125,BS4AE125M,BS4AF1970,BS4AF1980,BS4AF1990,BS4AF2000,BS4AF125,BS4AF125M,BS4AG1970,BS4AG1980,BS4AG1990,BS4AG2000,BS4AG125,BS4AG125M,BS4AH1970,BS4AH1980,BS4AH1990,BS4AH2000,BS4AH125,BS4AH125M,BS4AI1970,BS4AI1980,BS4AI1990,BS4AI2000,BS4AI125,BS4AI125M,BS4AJ1970,BS4AJ1980,BS4AJ1990,BS4AJ2000,BS4AJ125,BS4AJ125M,BS4AK1970,BS4AK1980,BS4AK1990,BS4AK2000,BS4AK125,BS4AK125M,BS4AL1970,BS4AL1980,BS4AL1990,BS4AL2000,BS4AL125,BS4AL125M,BS7AA1970,BS7AA1980,BS7AA1990,BS7AA2000,BS7AA125,BS7AA125M,BS7AB1970,BS7AB1980,BS7AB1990,BS7AB2000,BS7AB125,BS7AB125M,BS7AC1970,BS7AC1980,BS7AC1990,BS7AC2000,BS7AC125,BS7AC125M,BS7AD1970,BS7AD1980,BS7AD1990,BS7AD2000,BS7AD125,BS7AD125M,B79AA1980,B79AA1990,B79AA2000,B79AA125,B79AA125M,A88AA1970,A88AA1980,A88AA1990,A88AA2000,A88AA125,A88AA125M,A88AB1970,A88AB1980,A88AB1990,A88AB2000,A88AB125,A88AB125M,A88AC1970,A88AC1980,A88AC1990,A88AC2000,A88AC125,A88AC125M,A88AD1970,A88AD1980,A88AD1990,A88AD2000,A88AD125,A88AD125M,A88AE1970,A88AE1980,A88AE1990,A88AE2000,A88AE125,A88AE125M,BD5AA1980,BD5AA1990,BD5AA2000,BD5AA125,BD5AA125M,CL6AA1970,CL6AA1980,CL6AA1990,CL6AA2000,CL6AA125,CL6AA125M,A41AA1970,A41AA1980,A41AA1990,A41AA2000,A41AA2010
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,1790: Persons: Total,1800: Persons: Total,1810: Persons: Total,1820: Persons: Total,1830: Persons: Total,1840: Persons: Total,1850: Persons: Total,1860: Persons: Total,1870: Persons: Total,1880: Persons: Total,1890: Persons: Total,1900: Persons: Total,1910: Persons: Total,1920: Persons: Total,1930: Persons: Total,1940: Persons: Total,1950: Persons: Total,1960: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,2008-2012: Persons: Total,Margin of error: 2008-2012: Persons: Total,1970: Persons: Urban,1980: Persons: Urban,1990: Persons: Urban,2000: Persons: Urban,2010: Persons: Urban,1970: Persons: Urban--Inside urbanized areas,1980: Persons: Urban--Inside urbanized areas,1990: Persons: Urban--Inside urbanized areas,2000: Persons: Urban--Inside urbanized areas,2010: Persons: Urban--Inside urbanized areas,1970: Persons: Urban--Outside urbanized areas (in urban clusters),1980: Persons: Urban--Outside urbanized areas (in urban clusters),1990: Persons: Urban--Outside urbanized areas (in urban clusters),2000: Persons: Urban--Outside urbanized areas (in urban clusters),2010: Persons: Urban--Outside urbanized areas (in urban clusters),1970: Persons: Rural,1980: Persons: Rural,1990: Persons: Rural,2000: Persons: Rural,2010: Persons: Rural,1820: Persons: Male,1830: Persons: Male,1840: Persons: Male,1850: Persons: Male,1860: Persons: Male,1870: Persons: Male,1880: Persons: Male,1890: Persons: Male,1900: Persons: Male,1910: Persons: Male,1920: Persons: Male,1930: Persons: Male,1940: Persons: Male,1950: Persons: Male,1960: Persons: Male,1970: Persons: Male,1980: Persons: Male,1990: Persons: Male,2000: Persons: Male,2010: Persons: Male,1820: Persons: Female,1830: Persons: Female,1840: Persons: Female,1850: Persons: Female,1860: Persons: Female,1870: Persons: Female,1880: Persons: Female,1890: Persons: Female,1900: Persons: Female,1910: Persons: Female,1920: Persons: Female,1930: Persons: Female,1940: Persons: Female,1950: Persons: Female,1960: Persons: Female,1970: Persons: Female,1980: Persons: Female,1990: Persons: Female,2000: Persons: Female,2010: Persons: Female,1970: Persons: White (single race),1980: Persons: White (single race),1990: Persons: White (single race),2000: Persons: White (single race),2010: Persons: White (single race),1970: Persons: Black or African American (single race),1980: Persons: Black or African American (single race),1990: Persons: Black or African American (single race),2000: Persons: Black or African American (single race),2010: Persons: Black or African American (single race),1970: Persons: American Indian and Alaska Native (single race),1980: Persons: American Indian and Alaska Native (single race),1990: Persons: American Indian and Alaska Native (single race),2000: Persons: American Indian and Alaska Native (single race),2010: Persons: American Indian and Alaska Native (single race),1970: Persons: Asian and Pacific Islander and Other Race (single race),1980: Persons: Asian and Pacific Islander and Other Race (single race),1990: Persons: Asian and Pacific Islander and Other Race (single race),2000: Persons: Asian and Pacific Islander and Other Race (single race),2010: Persons: Asian and Pacific Islander and Other Race (single race),2000: Persons: Two or More Races,2010: Persons: Two or More Races,1970: Households: Total,1980: Households: Total,1990: Households: Total,2000: Households: Total,2010: Households: Total,1970: Persons: Native,1980: Persons: Native,1990: Persons: Native,2000: Persons: Native,2008-2012: Persons: Native,Margin of error: 2008-2012: Persons: Native,1970: Persons: Foreign born,1980: Persons: Foreign born,1990: Persons: Foreign born,2000: Persons: Foreign born,2008-2012: Persons: Foreign born,Margin of error: 2008-2012: Persons: Foreign born,"1970: Persons: Foreign born ~ Europe, including Soviet Union through 1990","1980: Persons: Foreign born ~ Europe, including Soviet Union through 1990","1990: Persons: Foreign born ~ Europe, including Soviet Union through 1990","2000: Persons: Foreign born ~ Europe, including Soviet Union through 1990","2008-2012: Persons: Foreign born ~ Europe, including Soviet Union through 1990","Margin of error: 2008-2012: Persons: Foreign born ~ Europe, including Soviet Union through 1990","1970: Persons: Foreign born ~ Asia, excluding Soviet Union through 1990","1980: Persons: Foreign born ~ Asia, excluding Soviet Union through 1990","1990: Persons: Foreign born ~ Asia, excluding Soviet Union through 1990","2000: Persons: Foreign born ~ Asia, excluding Soviet Union through 1990","2008-2012: Persons: Foreign born ~ Asia, excluding Soviet Union through 1990","Margin of error: 2008-2012: Persons: Foreign born ~ Asia, excluding Soviet Union through 1990",1970: Persons: Foreign born ~ Africa,1980: Persons: Foreign born ~ Africa,1990: Persons: Foreign born ~ Africa,2000: Persons: Foreign born ~ Africa,2008-2012: Persons: Foreign born ~ Africa,Margin of error: 2008-2012: Persons: Foreign born ~ Africa,1970: Persons: Foreign born ~ Oceania,1980: Persons: Foreign born ~ Oceania,1990: Persons: Foreign born ~ Oceania,2000: Persons: Foreign born ~ Oceania,2008-2012: Persons: Foreign born ~ Oceania,Margin of error: 2008-2012: Persons: Foreign born ~ Oceania,1970: Persons: Foreign born ~ Americas,1980: Persons: Foreign born ~ Americas,1990: Persons: Foreign born ~ Americas,2000: Persons: Foreign born ~ Americas,2008-2012: Persons: Foreign born ~ Americas,Margin of error: 2008-2012: Persons: Foreign born ~ Americas,1970: Persons: Foreign born ~ Born at sea or country not reported,1980: Persons: Foreign born ~ Born at sea or country not reported,1990: Persons: Foreign born ~ Born at sea or country not reported,2000: Persons: Foreign born ~ Born at sea or country not reported,1970: Persons: 25 years and over ~ Male ~ Less than 5th grade,1980: Persons: 25 years and over ~ Male ~ Less than 5th grade,1990: Persons: 25 years and over ~ Male ~ Less than 5th grade,2000: Persons: 25 years and over ~ Male ~ Less than 5th grade,2008-2012: Persons: 25 years and over ~ Male ~ Less than 5th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Male ~ Less than 5th grade,1970: Persons: 25 years and over ~ Male ~ 5th to 8th grade,1980: Persons: 25 years and over ~ Male ~ 5th to 8th grade,1990: Persons: 25 years and over ~ Male ~ 5th to 8th grade,2000: Persons: 25 years and over ~ Male ~ 5th to 8th grade,2008-2012: Persons: 25 years and over ~ Male ~ 5th to 8th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Male ~ 5th to 8th grade,1970: Persons: 25 years and over ~ Male ~ 9th to 11th grade,1980: Persons: 25 years and over ~ Male ~ 9th to 11th grade,1990: Persons: 25 years and over ~ Male ~ 9th to 11th grade,2000: Persons: 25 years and over ~ Male ~ 9th to 11th grade,2008-2012: Persons: 25 years and over ~ Male ~ 9th to 11th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Male ~ 9th to 11th grade,1970: Persons: 25 years and over ~ Male ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1980: Persons: 25 years and over ~ Male ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1990: Persons: 25 years and over ~ Male ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2000: Persons: 25 years and over ~ Male ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2008-2012: Persons: 25 years and over ~ Male ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ Male ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1970: Persons: 25 years and over ~ Male ~ 4 years of college (until 1980) or bachelor's degree (since 1990),1980: Persons: 25 years and over ~ Male ~ 4 years of college (until 1980) or bachelor's degree (since 1990),1990: Persons: 25 years and over ~ Male ~ 4 years of college (until 1980) or bachelor's degree (since 1990),2000: Persons: 25 years and over ~ Male ~ 4 years of college (until 1980) or bachelor's degree (since 1990),2008-2012: Persons: 25 years and over ~ Male ~ 4 years of college (until 1980) or bachelor's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ Male ~ 4 years of college (until 1980) or bachelor's degree (since 1990),1970: Persons: 25 years and over ~ Male ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),1980: Persons: 25 years and over ~ Male ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),1990: Persons: 25 years and over ~ Male ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),2000: Persons: 25 years and over ~ Male ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),2008-2012: Persons: 25 years and over ~ Male ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ Male ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),1970: Persons: 25 years and over ~ Female ~ Less than 5th grade,1980: Persons: 25 years and over ~ Female ~ Less than 5th grade,1990: Persons: 25 years and over ~ Female ~ Less than 5th grade,2000: Persons: 25 years and over ~ Female ~ Less than 5th grade,2008-2012: Persons: 25 years and over ~ Female ~ Less than 5th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Female ~ Less than 5th grade,1970: Persons: 25 years and over ~ Female ~ 5th to 8th grade,1980: Persons: 25 years and over ~ Female ~ 5th to 8th grade,1990: Persons: 25 years and over ~ Female ~ 5th to 8th grade,2000: Persons: 25 years and over ~ Female ~ 5th to 8th grade,2008-2012: Persons: 25 years and over ~ Female ~ 5th to 8th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Female ~ 5th to 8th grade,1970: Persons: 25 years and over ~ Female ~ 9th to 11th grade,1980: Persons: 25 years and over ~ Female ~ 9th to 11th grade,1990: Persons: 25 years and over ~ Female ~ 9th to 11th grade,2000: Persons: 25 years and over ~ Female ~ 9th to 11th grade,2008-2012: Persons: 25 years and over ~ Female ~ 9th to 11th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Female ~ 9th to 11th grade,1970: Persons: 25 years and over ~ Female ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1980: Persons: 25 years and over ~ Female ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1990: Persons: 25 years and over ~ Female ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2000: Persons: 25 years and over ~ Female ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2008-2012: Persons: 25 years and over ~ Female ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ Female ~ 12th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1970: Persons: 25 years and over ~ Female ~ 4 years of college (until 1980) or bachelor's degree (since 1990),1980: Persons: 25 years and over ~ Female ~ 4 years of college (until 1980) or bachelor's degree (since 1990),1990: Persons: 25 years and over ~ Female ~ 4 years of college (until 1980) or bachelor's degree (since 1990),2000: Persons: 25 years and over ~ Female ~ 4 years of college (until 1980) or bachelor's degree (since 1990),2008-2012: Persons: 25 years and over ~ Female ~ 4 years of college (until 1980) or bachelor's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ Female ~ 4 years of college (until 1980) or bachelor's degree (since 1990),1970: Persons: 25 years and over ~ Female ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),1980: Persons: 25 years and over ~ Female ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),1990: Persons: 25 years and over ~ Female ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),2000: Persons: 25 years and over ~ Female ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),2008-2012: Persons: 25 years and over ~ Female ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ Female ~ 5 or more years of college (until 1980) or graduate or professional degree (since 1990),1970: Persons: 16 years and over ~ Male ~ In labor force,1980: Persons: 16 years and over ~ Male ~ In labor force,1990: Persons: 16 years and over ~ Male ~ In labor force,2000: Persons: 16 years and over ~ Male ~ In labor force,2008-2012: Persons: 16 years and over ~ Male ~ In labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force,1970: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,1980: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,1990: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,2000: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,1970: Persons: 16 years and over ~ Male ~ In labor force--Civilian,1980: Persons: 16 years and over ~ Male ~ In labor force--Civilian,1990: Persons: 16 years and over ~ Male ~ In labor force--Civilian,2000: Persons: 16 years and over ~ Male ~ In labor force--Civilian,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian,1970: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,1980: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,1990: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,2000: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,1970: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,1980: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,1990: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,2000: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,1970: Persons: 16 years and over ~ Male ~ Not in labor force,1980: Persons: 16 years and over ~ Male ~ Not in labor force,1990: Persons: 16 years and over ~ Male ~ Not in labor force,2000: Persons: 16 years and over ~ Male ~ Not in labor force,2008-2012: Persons: 16 years and over ~ Male ~ Not in labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ Not in labor force,1970: Persons: 16 years and over ~ Female ~ In labor force,1980: Persons: 16 years and over ~ Female ~ In labor force,1990: Persons: 16 years and over ~ Female ~ In labor force,2000: Persons: 16 years and over ~ Female ~ In labor force,2008-2012: Persons: 16 years and over ~ Female ~ In labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force,1970: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,1980: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,1990: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,2000: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,1970: Persons: 16 years and over ~ Female ~ In labor force--Civilian,1980: Persons: 16 years and over ~ Female ~ In labor force--Civilian,1990: Persons: 16 years and over ~ Female ~ In labor force--Civilian,2000: Persons: 16 years and over ~ Female ~ In labor force--Civilian,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian,1970: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,1980: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,1990: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,2000: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,1970: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,1980: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,1990: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,2000: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,1970: Persons: 16 years and over ~ Female ~ Not in labor force,1980: Persons: 16 years and over ~ Female ~ Not in labor force,1990: Persons: 16 years and over ~ Female ~ Not in labor force,2000: Persons: 16 years and over ~ Female ~ Not in labor force,2008-2012: Persons: 16 years and over ~ Female ~ Not in labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ Not in labor force,"1970: Households: Income less than $10,000","1980: Households: Income less than $10,000","1990: Households: Income less than $10,000","2000: Households: Income less than $10,000","2008-2012: Households: Income less than $10,000","Margin of error: 2008-2012: Households: Income less than $10,000","1970: Households: Income $10,000 to $14,999","1980: Households: Income $10,000 to $14,999","1990: Households: Income $10,000 to $14,999","2000: Households: Income $10,000 to $14,999","2008-2012: Households: Income $10,000 to $14,999","Margin of error: 2008-2012: Households: Income $10,000 to $14,999","1970: Households: Income $15,000 to $24,999","1980: Households: Income $15,000 to $24,999","1990: Households: Income $15,000 to $24,999","2000: Households: Income $15,000 to $24,999","2008-2012: Households: Income $15,000 to $24,999","Margin of error: 2008-2012: Households: Income $15,000 to $24,999","1970: Households: Income $25,000 or more","1980: Households: Income $25,000 or more","1990: Households: Income $25,000 or more","2000: Households: Income $25,000 or more","2008-2012: Households: Income $25,000 or more","Margin of error: 2008-2012: Households: Income $25,000 or more",1980: Median income in previous year: Households,1990: Median income in previous year: Households,2000: Median income in previous year: Households,2008-2012: Median income in previous year: Households,Margin of error: 2008-2012: Median income in previous year: Households,"1970: Families: Income less than $10,000","1980: Families: Income less than $10,000","1990: Families: Income less than $10,000","2000: Families: Income less than $10,000","2008-2012: Families: Income less than $10,000","Margin of error: 2008-2012: Families: Income less than $10,000","1970: Families: Income $10,000 to $14,999","1980: Families: Income $10,000 to $14,999","1990: Families: Income $10,000 to $14,999","2000: Families: Income $10,000 to $14,999","2008-2012: Families: Income $10,000 to $14,999","Margin of error: 2008-2012: Families: Income $10,000 to $14,999","1970: Families: Income $15,000 to $24,999","1980: Families: Income $15,000 to $24,999","1990: Families: Income $15,000 to $24,999","2000: Families: Income $15,000 to $24,999","2008-2012: Families: Income $15,000 to $24,999","Margin of error: 2008-2012: Families: Income $15,000 to $24,999","1970: Families: Income $25,000 to $49,999","1980: Families: Income $25,000 to $49,999","1990: Families: Income $25,000 to $49,999","2000: Families: Income $25,000 to $49,999","2008-2012: Families: Income $25,000 to $49,999","Margin of error: 2008-2012: Families: Income $25,000 to $49,999","1970: Families: Income $50,000 or more","1980: Families: Income $50,000 or more","1990: Families: Income $50,000 or more","2000: Families: Income $50,000 or more","2008-2012: Families: Income $50,000 or more","Margin of error: 2008-2012: Families: Income $50,000 or more",1980: Per capita income in previous year,1990: Per capita income in previous year,2000: Per capita income in previous year,2008-2012: Per capita income in previous year,Margin of error: 2008-2012: Per capita income in previous year,1970: Persons: Poverty status is determined ~ Income below poverty level,1980: Persons: Poverty status is determined ~ Income below poverty level,1990: Persons: Poverty status is determined ~ Income below poverty level,2000: Persons: Poverty status is determined ~ Income below poverty level,2008-2012: Persons: Poverty status is determined ~ Income below poverty level,Margin of error: 2008-2012: Persons: Poverty status is determined ~ Income below poverty level,1970: Housing units: Total,1980: Housing units: Total,1990: Housing units: Total,2000: Housing units: Total,2010: Housing units: Total
"G010","Alabama","01","010",,,,127901,309527,590756,771623,964201,996992,1262505,1513017,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,3444165,3893888,4040587,4447100,4779736,4777326,0,2011941,2337713,2439549,2465673,2821804,1280325,1765461,1839966,1941208,2325304,731616,572252,599583,524465,496500,1432224,1556175,1601038,1981427,1957932,67937,160860,305082,392343,489291,488738,622629,757456,916764,1074209,1173105,1315009,1399901,1502640,1591709,1661941,1871534,1936162,2146504,2320188,59964,148667,285674,379280,474910,508254,639876,755561,911933,1063884,1175069,1331239,1433060,1559103,1675031,1782224,2022354,2104425,2300596,2459548,2533831,2873289,2975797,3162808,3275394,903467,996283,1020705,1155930,1251311,2443,9304,16506,22430,28218,4424,10660,27579,61753,153562,44179,71251,1034113,1341856,1506790,1737080,1883791,3428160,3854886,3997054,4359328,4610592,2629,15988,39002,43533,87772,166734,2629,10068,14896,13972,18415,18476,1019,2196,9329,17294,26235,45086,1287,231,1348,1813,3662,6768,858,188,286,275,529,670,195,2919,6204,8072,38926,95734,2008,386,6939,2107,5,105448,77648,48679,29673,31708,1236,218186,186730,115292,85138,66304,1701,166454,167632,166144,163858,149929,2955,268356,439288,632962,800279,914864,6018,47830,81688,136777,175530,214698,3193,32837,70713,77241,98876,121204,2276,88516,64029,42565,28325,27963,1181,253570,225470,142312,97197,61907,1551,230132,243331,224157,192265,156172,2933,336200,543124,774630,941057,1052576,6933,45118,70073,121454,176242,233419,3298,16151,47589,63756,98960,135680,2664,808412,971845,1032959,1101681,1190753,4717,30675,26171,21679,11961,13891,830,777737,945674,1011280,1089720,1176862,4769,749851,882050,950174,1029487,1057453,4771,27886,63624,61106,60233,119409,2562,294267,382164,422710,532685,616505,4225,474073,693507,862402,959488,1074255,4805,2615,4438,3301,2108,2452,362,471458,689069,859101,957380,1071803,4831,443464,629878,791620,890702,960434,4890,27994,59191,67481,66678,111369,2335,770428,833832,785458,856688,897944,4944,754749,505631,337898,250526,181464,3016,179400,217278,161059,140880,130184,2080,78984,334535,288244,257393,240224,2912,20980,284927,718808,1088586,1285704,7476,13669,23597,34135,43160,237,601654,298785,156016,103257,77508,2100,175084,175680,107713,72749,51863,1512,77663,299387,215592,160921,129615,2465,16296,235358,402097,389879,311611,3498,3962,33361,229721,496379,671947,5410,5894,11486,18189,23587,139,857248,719905,723614,698097,842292,11411,1120220,1467374,1670379,1963711,2171853
